dataset,method,parameters,change_points,time_ms
rail_lines,PELT,"penalty=0.0000000001, jump=5, min_size=6",6;12;18;24;30;37,0.097
quality_control_1,MicroWatch(idx=0),"{""new_dist_buffer_size"":33.0,""batch_size"":6.0,""threshold_ratio"":0.955002515,""max_dist_size"":10.0}",312,0.013
quality_control_1,MicroWatch(idx=1),"{""batch_size"":6.0,""threshold_ratio"":3.497463148,""new_dist_buffer_size"":43.0,""max_dist_size"":62.0}",144,0.020
quality_control_1,MicroWatch(idx=2),"{""threshold_ratio"":0.165061772,""batch_size"":3.0,""max_dist_size"":89.0,""new_dist_buffer_size"":26.0}",27;54;81;108;135;162;189;216;243;270;297,0.020
quality_control_1,MicroWatch(idx=3),"{""threshold_ratio"":1.768767217,""max_dist_size"":49.0,""batch_size"":6.0,""new_dist_buffer_size"":39.0}",102,0.016
quality_control_1,MicroWatch(idx=4),"{""threshold_ratio"":2.082744893,""batch_size"":5.0,""new_dist_buffer_size"":20.0,""max_dist_size"":94.0}",145,0.141
quality_control_1,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":15.0,""threshold_ratio"":3.822143826,""new_dist_buffer_size"":25.0}",144;279,0.017
quality_control_1,MicroWatch(idx=6),"{""threshold_ratio"":1.294981196,""new_dist_buffer_size"":50.0,""max_dist_size"":22.0,""batch_size"":6.0}",108;180,0.014
quality_control_1,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=5",141,3.711
quality_control_1,CUSUM,"twarmup=92, plimit=0.14519033392336333",100;153;211;302,0.007
quality_control_1,PELT,"penalty=5, jump=1, min_size=1",144;313,8.687
quality_control_4,MicroWatch(idx=0),"{""max_dist_size"":71.0,""threshold_ratio"":0.238082666,""batch_size"":3.0,""new_dist_buffer_size"":35.0}",,0.036
quality_control_4,MicroWatch(idx=1),"{""max_dist_size"":63.0,""new_dist_buffer_size"":21.0,""threshold_ratio"":3.944112231,""batch_size"":6.0}",,0.024
quality_control_4,MicroWatch(idx=2),"{""new_dist_buffer_size"":25.0,""max_dist_size"":36.0,""batch_size"":4.0,""threshold_ratio"":2.201370347}",180,0.021
quality_control_4,MicroWatch(idx=3),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":3.107189201,""batch_size"":4.0,""max_dist_size"":47.0}",,0.022
quality_control_4,MicroWatch(idx=4),"{""batch_size"":3.0,""max_dist_size"":35.0,""threshold_ratio"":2.181676865,""new_dist_buffer_size"":24.0}",162;240;312;342;471,0.051
