dataset,algorithm,f1,precision,recall,cover
occupancy,BOCPDMS_univ,0.34077855775366944,1.0,0.20538461538461536,0.23562129218275363
occupancy,BOCPDMS_multi,0.09011990573884114,0.0472972972972973,0.9525641025641025,0.10950086022642083
ozone,BOCPD,0.5454545454545454,0.375,1.0,0.47407407407407404
ozone,CUSUM,0.6,0.42857142857142855,1.0,0.34197530864197534
ozone,MicroWatch,0.53125,0.5,0.5666666666666667,0.6823045267489711
ozone,PELT,0.5454545454545454,0.375,1.0,0.31111111111111117
ozone,BOCPDMS_univ,0.2828282828282828,0.16666666666666666,0.9333333333333333,0.7067901234567902
ozone,BOCPDMS_multi,0.7234042553191489,1.0,0.5666666666666667,0.5736625514403293
quality_control_1,BOCPD,0.09411764705882353,0.04938271604938271,1.0,0.1501597444089457
quality_control_1,CUSUM,0.2666666666666667,0.15384615384615385,1.0,0.29229634950942396
quality_control_1,MicroWatch,0.16666666666666669,0.1,0.5,0.2108626198083067
quality_control_1,PELT,1.0,1.0,1.0,0.9961856952610209
quality_control_1,BOCPDMS_univ,0.07207207207207207,0.037383177570093455,1.0,0.17252396166134185
quality_control_1,BOCPDMS_multi,0.6666666666666666,1.0,0.5,0.5031081260398699
quality_control_2,BOCPD,0.0909090909090909,0.047619047619047616,1.0,0.0657243816254417
quality_control_2,CUSUM,0.5,0.3333333333333333,1.0,0.7501694670801182
quality_control_2,MicroWatch,0.3636363636363636,0.2222222222222222,1.0,0.2204946996466431
quality_control_2,PELT,1.0,1.0,1.0,0.9272274782476536
quality_control_2,BOCPDMS_univ,0.0689655172413793,0.03571428571428571,1.0,0.24381625441696114
quality_control_2,BOCPDMS_multi,0.7499999999999999,1.0,0.6,0.6382524441558766
quality_control_3,BOCPD,0.0851063829787234,0.044444444444444446,1.0,0.273224043715847
quality_control_3,CUSUM,0.21052631578947367,0.11764705882352941,1.0,0.34153005464480873
quality_control_3,MicroWatch,0.3076923076923077,0.18181818181818182,1.0,0.22950819672131145
quality_control_3,PELT,1.0,1.0,1.0,0.9967303392229183
quality_control_3,BOCPDMS_univ,0.05,0.02564102564102564,1.0,0.1284153005464481
quality_control_3,BOCPDMS_multi,0.6666666666666666,1.0,0.5,0.5002717310161545
quality_control_4,BOCPD,0.0767590618336887,0.04054054054054054,0.72,0.35780933217012
quality_control_4,CUSUM,0.2033898305084746,0.11320754716981132,1.0,0.0732
quality_control_4,MicroWatch,0.22295081967213115,0.13333333333333333,0.6799999999999999,0.1633090909090909
quality_control_4,PELT,0.7263157894736841,0.6,0.9199999999999999,0.5398444150810431
quality_control_4,BOCPDMS_univ,0.08040201005025127,0.04195804195804196,0.96,0.1792121212121212
quality_control_4,BOCPDMS_multi,0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_5,BOCPD,0.024999999999999998,0.012658227848101266,1.0,0.13846153846153847
quality_control_5,CUSUM,0.16666666666666669,0.09090909090909091,1.0,0.43076923076923085
quality_control_5,MicroWatch,0.18181818181818182,0.1,1.0,0.12
quality_control_5,PELT,1.0,1.0,1.0,1.0
quality_control_5,BOCPDMS_univ,0.020833333333333332,0.010526315789473684,1.0,0.12615384615384614
quality_control_5,BOCPDMS_multi,1.0,1.0,1.0,1.0
rail_lines,BOCPD,0.5945945945945945,0.5,0.7333333333333333,0.6428274428274428
rail_lines,CUSUM,0.7304347826086957,0.6,0.9333333333333332,0.5793962383436068
rail_lines,MicroWatch,0.423076923076923,0.5,0.36666666666666664,0.4778050778050778
rail_lines,PELT,0.7304347826086957,0.6,0.9333333333333332,0.5822245322245323
rail_lines,BOCPDMS_univ,0.5365853658536585,1.0,0.36666666666666664,0.4281957633308984
rail_lines,BOCPDMS_multi,0.5365853658536585,1.0,0.36666666666666664,0.4281957633308984
ratner_stock,BOCPD,0.20740740740740743,0.11666666666666667,0.9333333333333332,0.5627052083333334
ratner_stock,CUSUM,0.23728813559322035,0.1346153846153846,1.0,0.11700000000000002
ratner_stock,MicroWatch,0.34456928838951306,0.2222222222222222,0.7666666666666666,0.16549509803921567
ratner_stock,PELT,0.4666666666666667,0.30434782608695654,1.0,0.3038888888888889
ratner_stock,BOCPDMS_univ,0.03940886699507389,0.020100502512562814,1.0,0.098
ratner_stock,BOCPDMS_multi,0.5714285714285714,1.0,0.39999999999999997,0.4503255555555555
robocalls,BOCPD,0.7272727272727273,0.5714285714285714,1.0,0.42682581786030066
robocalls,CUSUM,0.7088607594936708,0.5714285714285714,0.9333333333333332,0.3837606837606838
robocalls,MicroWatch,0.7499999999999999,1.0,0.6,0.594612899471199
robocalls,PELT,0.7088607594936708,0.5714285714285714,0.9333333333333332,0.4269230769230769
robocalls,BOCPDMS_univ,0.3,0.2,0.6,0.4640707118967988
robocalls,BOCPDMS_multi,0.6363636363636364,1.0,0.4666666666666666,0.6005917159763314
run_log,BOCPD,0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,CUSUM,0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,MicroWatch,0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,PELT,0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,BOCPDMS_univ,0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,BOCPDMS_multi,0.11890317884008737,0.06329113924050633,0.9800000000000001,0.5077021276595745
scanline_126007,BOCPD,0.19260170459537826,0.1095890410958904,0.7942028985507246,0.3591781827075945
scanline_126007,CUSUM,0.6017879948914432,0.4523809523809524,0.8985507246376813,0.17914769515388712
scanline_126007,MicroWatch,0.7859045277607046,0.7777777777777778,0.7942028985507246,0.4386911899422601
