dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
quality_control_4,PELT,78.05,100.0,64.0,67.27,0,6
quality_control_4,MicroWatch(idx=6),62.12,50.0,82.0,53.64,5,6
quality_control_4,MicroWatch(idx=2),56.14,50.0,64.0,56.1,1,6
quality_control_4,CUSUM,40.24,28.57,68.0,39.64,6,6
quality_control_5,MicroWatch(idx=0),100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=1),100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=2),100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=3),100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=4),100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=6),100.0,100.0,100.0,100.0,0,0
quality_control_5,BOCPD,100.0,100.0,100.0,100.0,0,0
quality_control_5,PELT,100.0,100.0,100.0,100.0,0,0
quality_control_5,MicroWatch(idx=5),66.67,50.0,100.0,90.15,1,0
quality_control_5,CUSUM,66.67,50.0,100.0,76.31,1,0
rail_lines,MicroWatch(idx=1),96.55,100.0,93.33,78.47,2,9
rail_lines,MicroWatch(idx=2),96.55,100.0,93.33,78.47,2,9
rail_lines,MicroWatch(idx=3),96.55,100.0,93.33,78.47,2,9
rail_lines,MicroWatch(idx=4),96.55,100.0,93.33,80.19,2,9
rail_lines,MicroWatch(idx=6),96.55,100.0,93.33,78.47,2,9
rail_lines,MicroWatch(idx=5),84.62,100.0,73.33,78.64,1,9
rail_lines,MicroWatch(idx=0),53.66,100.0,36.67,42.82,0,9
rail_lines,BOCPD,53.66,100.0,36.67,42.82,0,9
rail_lines,CUSUM,53.66,100.0,36.67,42.82,0,9
rail_lines,PELT,53.66,100.0,36.67,42.82,0,9
ratner_stock,BOCPD,86.79,100.0,76.67,90.45,2,8
ratner_stock,MicroWatch(idx=1),84.62,100.0,73.33,87.14,1,8
ratner_stock,MicroWatch(idx=4),82.35,100.0,70.0,90.65,2,8
ratner_stock,PELT,82.35,100.0,70.0,91.22,2,8
ratner_stock,MicroWatch(idx=2),77.55,100.0,63.33,87.11,1,8
ratner_stock,MicroWatch(idx=3),58.33,50.0,70.0,61.91,5,8
ratner_stock,MicroWatch(idx=0),57.14,100.0,40.0,45.03,0,8
ratner_stock,MicroWatch(idx=5),44.44,50.0,40.0,68.54,1,8
ratner_stock,MicroWatch(idx=6),34.46,22.22,76.67,34.83,17,8
ratner_stock,CUSUM,32.81,21.43,70.0,23.64,13,8
robocalls,MicroWatch(idx=1),100.0,100.0,100.0,74.23,3,8
robocalls,MicroWatch(idx=2),96.55,100.0,93.33,77.13,2,8
robocalls,MicroWatch(idx=3),96.55,100.0,93.33,80.77,2,8
robocalls,MicroWatch(idx=4),96.55,100.0,93.33,77.13,2,8
robocalls,MicroWatch(idx=5),96.55,100.0,93.33,77.61,2,8
robocalls,MicroWatch(idx=6),80.0,100.0,66.67,66.8,1,8
robocalls,CUSUM,80.0,100.0,66.67,66.55,1,8
robocalls,MicroWatch(idx=0),63.64,100.0,46.67,60.06,0,8
robocalls,BOCPD,63.64,100.0,46.67,60.06,0,8
robocalls,PELT,63.64,100.0,46.67,60.06,0,8
run_log,MicroWatch(idx=1),93.83,90.0,98.0,78.43,9,33
run_log,MicroWatch(idx=4),73.98,70.0,78.44,61.69,9,33
run_log,MicroWatch(idx=5),56.21,55.56,56.89,60.99,8,33
run_log,MicroWatch(idx=2),54.24,37.5,98.0,31.42,23,33
run_log,MicroWatch(idx=6),54.24,37.5,98.0,31.42,23,33
run_log,MicroWatch(idx=3),47.92,50.0,46.0,51.08,5,33
run_log,MicroWatch(idx=0),44.56,100.0,28.67,30.35,0,33
scanline_126007,PELT,87.91,88.89,86.96,50.72,8,26
scanline_126007,BOCPD,85.76,100.0,75.07,69.51,1,26
scanline_126007,MicroWatch(idx=4),80.14,80.0,80.29,49.35,9,26
scanline_126007,MicroWatch(idx=6),74.92,66.67,85.51,35.24,20,26
scanline_126007,MicroWatch(idx=1),70.62,66.67,75.07,62.34,2,26
scanline_126007,MicroWatch(idx=5),65.23,100.0,48.41,63.12,1,26
scanline_126007,MicroWatch(idx=0),64.44,100.0,47.54,50.27,0,26
scanline_126007,MicroWatch(idx=2),64.44,100.0,47.54,50.27,0,26
scanline_126007,MicroWatch(idx=3),64.44,100.0,47.54,50.27,0,26
scanline_126007,CUSUM,42.16,36.36,50.14,26.01,10,26
scanline_42049,PELT,96.23,100.0,92.73,89.59,7,33
scanline_42049,MicroWatch(idx=1),87.37,88.89,85.91,84.07,8,33
scanline_42049,MicroWatch(idx=4),83.08,87.5,79.09,80.42,7,33
scanline_42049,MicroWatch(idx=5),74.03,83.33,66.59,67.95,5,33
scanline_42049,BOCPD,71.84,100.0,56.06,69.81,7,33
scanline_42049,MicroWatch(idx=2),63.99,71.43,57.95,67.71,6,33
scanline_42049,MicroWatch(idx=6),56.02,80.0,43.11,75.76,4,33
scanline_42049,MicroWatch(idx=3),40.39,100.0,25.3,30.4,1,33
