Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
robocalls,MicroWatch(idx=6),0.004,0.004,0.02
robocalls,PELT,0.082,0.071,0.328
run_log,MicroWatch(idx=0),0.012,0.013,0.084
run_log,MicroWatch(idx=1),0.033,0.032,0.175
run_log,MicroWatch(idx=2),0.023,0.023,0.135
run_log,MicroWatch(idx=3),0.036,0.038,0.293
run_log,MicroWatch(idx=4),0.043,0.045,0.298
run_log,MicroWatch(idx=5),0.062,0.142,0.429
run_log,MicroWatch(idx=6),0.021,0.024,0.131
run_log,PELT,12.5,14.463,68.098
scanline_126007,BOCPD,7.636,9.235,70.694
scanline_126007,CUSUM,0.007,0.007,0.046
scanline_126007,MicroWatch(idx=0),0.022,0.023,0.144
scanline_126007,MicroWatch(idx=1),0.028,0.025,0.135
scanline_126007,MicroWatch(idx=2),0.022,0.02,0.112
scanline_126007,MicroWatch(idx=3),0.021,0.023,0.148
scanline_126007,MicroWatch(idx=4),0.085,0.087,0.496
scanline_126007,MicroWatch(idx=5),0.048,0.057,0.315
scanline_126007,MicroWatch(idx=6),0.029,0.032,0.168
scanline_126007,PELT,19.062,20.217,112.567
scanline_42049,BOCPD,7.574,13.522,71.037
scanline_42049,CUSUM,0.008,0.008,0.053
scanline_42049,MicroWatch(idx=0),0.035,0.03,0.198
scanline_42049,MicroWatch(idx=1),0.061,0.053,0.307
scanline_42049,MicroWatch(idx=2),0.041,0.038,0.234
scanline_42049,MicroWatch(idx=3),0.033,0.035,0.257
scanline_42049,MicroWatch(idx=4),0.137,0.143,0.911
scanline_42049,MicroWatch(idx=5),0.06,0.063,0.385
scanline_42049,MicroWatch(idx=6),0.05,0.05,0.312
scanline_42049,PELT,17.146,24.538,103.861
seatbelts,BOCPD,1.207,1.771,11.484
seatbelts,CUSUM,0.004,0.004,0.026
seatbelts,MicroWatch(idx=0),0.01,0.011,0.062
seatbelts,MicroWatch(idx=1),0.021,0.021,0.104
seatbelts,MicroWatch(idx=2),0.017,0.018,0.104
seatbelts,MicroWatch(idx=3),0.009,0.01,0.059
seatbelts,MicroWatch(idx=4),0.016,0.017,0.094
seatbelts,MicroWatch(idx=5),0.013,0.013,0.072
seatbelts,MicroWatch(idx=6),0.015,0.017,0.094
seatbelts,PELT,2.827,2.89,15.705
shanghai_license,BOCPD,1.469,2.267,12.988
shanghai_license,CUSUM,0.003,0.003,0.025
shanghai_license,MicroWatch(idx=0),0.023,0.044,0.114
shanghai_license,MicroWatch(idx=1),0.065,0.039,0.143
shanghai_license,MicroWatch(idx=2),0.044,0.147,0.151
shanghai_license,MicroWatch(idx=3),0.02,0.017,0.082
shanghai_license,MicroWatch(idx=4),0.022,0.015,0.083
shanghai_license,MicroWatch(idx=5),0.06,0.046,0.238
shanghai_license,MicroWatch(idx=6),0.019,0.014,0.067
shanghai_license,PELT,3.205,3.924,16.261
uk_coal_employ,BOCPD,0.604,0.348,3.282
uk_coal_employ,CUSUM,0.003,0.003,0.019
uk_coal_employ,MicroWatch(idx=0),0.007,0.006,0.043
uk_coal_employ,MicroWatch(idx=1),0.007,0.008,0.044
uk_coal_employ,MicroWatch(idx=2),0.012,0.012,0.073
uk_coal_employ,MicroWatch(idx=3),0.012,0.013,0.079
uk_coal_employ,MicroWatch(idx=4),0.013,0.014,0.094
uk_coal_employ,MicroWatch(idx=5),0.007,0.008,0.047
uk_coal_employ,MicroWatch(idx=6),0.004,0.004,0.027
uk_coal_employ,PELT,0.255,0.348,1.192
unemployment_nl,BOCPD,1.469,1.667,14.248
unemployment_nl,CUSUM,0.004,0.004,0.027
unemployment_nl,MicroWatch(idx=0),0.01,0.011,0.072
unemployment_nl,MicroWatch(idx=1),0.049,0.043,0.245
unemployment_nl,MicroWatch(idx=2),0.01,0.01,0.085
unemployment_nl,MicroWatch(idx=3),0.019,0.014,0.103
unemployment_nl,MicroWatch(idx=4),0.035,0.033,0.209
unemployment_nl,MicroWatch(idx=5),0.019,0.018,0.105
unemployment_nl,MicroWatch(idx=6),0.027,0.023,0.127
unemployment_nl,PELT,3.763,3.745,21.347
us_population,BOCPD,21.628,25.155,199.302
us_population,CUSUM,0.007,0.007,0.053
us_population,MicroWatch(idx=0),0.041,0.105,0.305
us_population,MicroWatch(idx=1),0.075,0.246,0.448
us_population,MicroWatch(idx=2),0.079,0.064,0.408
us_population,MicroWatch(idx=3),0.083,0.079,0.586
us_population,MicroWatch(idx=4),0.272,0.266,1.704
us_population,MicroWatch(idx=5),0.093,0.087,0.606
us_population,MicroWatch(idx=6),0.054,0.046,0.298
us_population,PELT,50.557,63.467,287.968
usd_isk,BOCPD,2.455,2.489,19.039
usd_isk,CUSUM,0.005,0.005,0.032
usd_isk,MicroWatch(idx=0),0.034,0.037,0.207
