dataset,algorithm,f1,precision,recall,cover
quality_control_3,MicroWatch(idx=4),0.28125,0.16666666666666666,0.9,0.19672131147540983
quality_control_3,MicroWatch(idx=5),1.0,1.0,1.0,0.9934729811778993
quality_control_3,MicroWatch(idx=6),0.8,0.6666666666666666,1.0,0.8431997571341834
quality_control_3,BOCPD,1.0,1.0,1.0,0.9848202473396606
quality_control_3,CUSUM,0.5,0.5,0.5,0.9051482621841279
quality_control_3,PELT,1.0,1.0,1.0,0.9967303392229183
quality_control_4,MicroWatch(idx=0),0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_4,MicroWatch(idx=1),0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_4,MicroWatch(idx=2),0.5614035087719298,0.5,0.64,0.5610047800586511
quality_control_4,MicroWatch(idx=3),0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_4,MicroWatch(idx=4),0.9090909090909091,0.8333333333333334,1.0,0.5440995119150157
quality_control_4,MicroWatch(idx=5),0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_4,MicroWatch(idx=6),0.6212121212121212,0.5,0.82,0.5363548261158178
quality_control_4,BOCPD,0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_4,CUSUM,0.4023668639053254,0.2857142857142857,0.6799999999999999,0.39638791393215966
quality_control_4,PELT,0.7804878048780487,1.0,0.64,0.6727407999999999
quality_control_5,MicroWatch(idx=0),1.0,1.0,1.0,1.0
quality_control_5,MicroWatch(idx=1),1.0,1.0,1.0,1.0
quality_control_5,MicroWatch(idx=2),1.0,1.0,1.0,1.0
quality_control_5,MicroWatch(idx=3),1.0,1.0,1.0,1.0
quality_control_5,MicroWatch(idx=4),1.0,1.0,1.0,1.0
quality_control_5,MicroWatch(idx=5),0.6666666666666666,0.5,1.0,0.9015384615384615
quality_control_5,MicroWatch(idx=6),1.0,1.0,1.0,1.0
quality_control_5,BOCPD,1.0,1.0,1.0,1.0
quality_control_5,CUSUM,0.6666666666666666,0.5,1.0,0.7630769230769231
quality_control_5,PELT,1.0,1.0,1.0,1.0
rail_lines,MicroWatch(idx=0),0.5365853658536585,1.0,0.36666666666666664,0.4281957633308984
rail_lines,MicroWatch(idx=1),0.9655172413793104,1.0,0.9333333333333332,0.7847490347490347
rail_lines,MicroWatch(idx=2),0.9655172413793104,1.0,0.9333333333333332,0.7847490347490347
rail_lines,MicroWatch(idx=3),0.9655172413793104,1.0,0.9333333333333332,0.7847490347490347
rail_lines,MicroWatch(idx=4),0.9655172413793104,1.0,0.9333333333333332,0.8018894460070932
rail_lines,MicroWatch(idx=5),0.846153846153846,1.0,0.7333333333333333,0.7863825363825364
rail_lines,MicroWatch(idx=6),0.9655172413793104,1.0,0.9333333333333332,0.7847490347490347
rail_lines,BOCPD,0.5365853658536585,1.0,0.36666666666666664,0.4281957633308984
rail_lines,CUSUM,0.5365853658536585,1.0,0.36666666666666664,0.4281957633308984
rail_lines,PELT,0.8,0.6666666666666666,1.0,0.4495495495495495
ratner_stock,MicroWatch(idx=0),0.5714285714285714,1.0,0.39999999999999997,0.4503255555555555
ratner_stock,MicroWatch(idx=1),0.846153846153846,1.0,0.7333333333333332,0.8713730266870364
ratner_stock,MicroWatch(idx=2),0.7755102040816326,1.0,0.6333333333333333,0.8711264209940708
ratner_stock,MicroWatch(idx=3),0.5833333333333334,0.5,0.7,0.6191428571428572
ratner_stock,MicroWatch(idx=4),0.8235294117647058,1.0,0.7,0.9065327561327562
ratner_stock,MicroWatch(idx=5),0.4444444444444445,0.5,0.39999999999999997,0.685396499238965
ratner_stock,MicroWatch(idx=6),0.34456928838951306,0.2222222222222222,0.7666666666666666,0.34833333333333333
ratner_stock,BOCPD,0.8679245283018867,1.0,0.7666666666666666,0.9044967717717718
ratner_stock,CUSUM,0.328125,0.21428571428571427,0.7,0.23635714285714285
ratner_stock,PELT,0.8235294117647058,1.0,0.7,0.9122205146473155
robocalls,MicroWatch(idx=0),0.6363636363636364,1.0,0.4666666666666666,0.6005917159763314
robocalls,MicroWatch(idx=1),1.0,1.0,1.0,0.7423076923076922
robocalls,MicroWatch(idx=2),0.9655172413793104,1.0,0.9333333333333332,0.7712905764312413
robocalls,MicroWatch(idx=3),0.9655172413793104,1.0,0.9333333333333332,0.8076923076923077
robocalls,MicroWatch(idx=4),0.9655172413793104,1.0,0.9333333333333332,0.7713151200560211
robocalls,MicroWatch(idx=5),0.9655172413793104,1.0,0.9333333333333332,0.7760683760683762
robocalls,MicroWatch(idx=6),0.8,1.0,0.6666666666666666,0.6679881656804734
robocalls,BOCPD,0.6363636363636364,1.0,0.4666666666666666,0.6005917159763314
robocalls,CUSUM,0.8,1.0,0.6666666666666666,0.665533656626774
robocalls,PELT,0.9655172413793104,1.0,0.9333333333333332,0.7115384615384616
run_log,MicroWatch(idx=0),0.4455958549222798,1.0,0.2866666666666667,0.3035168628338615
run_log,MicroWatch(idx=1),0.9382978723404256,0.9,0.9800000000000001,0.7843085106382979
